ID,FirstName,LastName,PhoneNumber,Email,Gender,MaritalStatus,Street,City,State,PostalCode,ProductCode,Price,Discount,SKU,TransactionAmount,TransactionDate
17,Kevin,Stewart,6083651970,kevin.stewart@gmail.com,female,Unknown,79911 William Curve,Nicolebury,Mississippi,37854,PRD-6038,1201.06,0.2,SKU84364,94668.42,2023-09-26
18,Samuel,Daniels,6367878761,samuel.daniels@example.com,Male,Unknown,808 Huynh Cove Apt. 411,West Juan,Indiana,94559,PRD-9727,3830.34,0.2,SKU96474,47265.88,2024-02-17
19,James,Walters,8361388464,james.walters@yahoo.com,Female,M,740 Cynthia Village Suite 005,Lake Tina,Hawaii,97655,PRD-7932,4821.99,0.2,SKU50857,39598.73,2024-05-04
20,Andrea,Patterson,8884873529,andrea.patterson@outlook.com,Other,M,12805 Russell Canyon,Michaelton,Minnesota,28036,PRD-8397,609.42,0.2,SKU18392,9999999,2024-11-06
21,John,Garcia,8526766690,john.garcia@yahoo.com,F,Single,232 Nicole Burg Apt. 563,Erikville,Missouri,5576,PRD-2163,3540.67,0.1,SKU40007,6273.73,2025-03-23
22,Thomas,Gonzalez,6134917627,thomas.gonzalez@outlook.com,Male,M,4330 Raymond Harbors Apt. 458,Frazierside,Michigan,4118,PRD-4899,1395.99,0,SKU38080,53693.01,2023-08-24
23,Natalie,Green,9106775595,natalie.green@example.com,F,Unknown,19655 Obrien Pass Apt. 693,Bradleychester,Alabama,68647,PRD-8749,4038.45,0.2,SKU22363,9241.55,2025-05-14
24,Lindsay,Mcdaniel,7851350739,lindsay.mcdaniel@outlook.com,Unknown,Married,6159 Alvarado Crossing,Williamchester,Massachusetts,53244,PRD-8651,4319.86,0.1,SKU98259,65172.28,2024-11-18
25,Kenneth,Martinez,8775320897,kenneth.martinez@gmail.com,M,Married,629 Sullivan Village Apt. 443,Floydmouth,New Jersey,58406,PRD-6559,4003.96,0.1,SKU42591,18754.8,2024-05-04
26,Emma,Dixon,8303329764,emma.dixon@example.com,male,Married,148 Davis Terrace,Lake Lance,Illinois,19814,PRD-4006,1396.33,0.2,SKU19880,44034.64,2023-06-14
27,Brandon,Riggs,9699466215,brandon.riggs@gmail.com,M,Divorced,6936 Ross Drive,Port Michelleville,Wyoming,56225,PRD-9856,4180.96,0.1,SKU40982,16214.27,2023-11-12
28,Gregory,Rubio,8085812759,gregory.rubio@example.com,F,Unknown,83172 Contreras Points Suite 798,Rivasside,New Hampshire,21362,PRD-7570,4512.7,0.2,SKU59672,-283.38,2024-12-24
29,Michelle,Cole,7676848676,michelle.cole@outlook.com,Other,S,487 Joshua Club,Jimmymouth,Massachusetts,71299,PRD-7930,-999,0,SKU30289,18584.74,2023-07-28
30,Devon,Hall,,devon.hall@gmail.com,M,Divorced,316 Rivera Mountain,Brownchester,Missouri,77057,PRD-6138,290.54,0,SKU75909,91898.41,2024-11-17
31,Andrew,Gilmore,8281169403,andrew.gilmore@yahoo.com,M,M,0546 Medina Street Apt. 734,Tuckerfurt,Michigan,88171,PRD-2312,4257.46,0.1,SKU87992,6330.07,2024-11-04
32,Lauren,Ramsey,,lauren.ramsey@yahoo.com,Unknown,Single,98069 Christopher Meadow Apt. 720,Nicholasborough,New Jersey,43341,PRD-5033,2896.7,0.1,SKU91183,7739.33,2024-02-13
33,Kathleen,Gray,8823396242,kathleen.gray@outlook.com,Female,single,1708 Zoe Keys Apt. 100,East Mary,South Carolina,20474,PRD-6147,1197.24,0,SKU27154,67004.87,2023-11-28
34,David,Caldwell,,david.caldwell@example.com,female,Unknown,4529 Kimberly Estates,Danieltown,Maryland,XXXXX,PRD-2188,51.53,0.1,SKU19602,53532.26,2024-11-03
35,Rebecca,Brooks,8172758220,rebecca.brooks@outlook.com,male,S,93149 Laura Port,West Amandastad,California,66818,PRD-2127,4396.95,0.3,SKU47353,15353.56,2024-10-10
36,Matthew,Atkinson,,matthew.atkinson@outlook.com,M,Divorced,65726 Jessica Run Suite 987,Grahamshire,Louisiana,42746,PRD-5905,4659.12,0.1,SKU27601,26078.83,2025-03-18
37,John,Michael,9821286999,john.michael@gmail.com,male,S,3799 Rogers Park Suite 273,Laurenmouth,Louisiana,78640,PRD-5616,3026.12,0.3,SKU36685,68593.46,2024-11-21
38,Nicole,Peters,9663232650,nicole.peters@outlook.com,Other,S,36783 Brewer Overpass,Mcguireland,Maine,29546,PRD-1832,466.03,0,SKU46265,3930.72,2024-04-05
39,Heather,Torres,7432614422,heather.torres@yahoo.com,Female,single,8856 Bell Motorway Suite 443,Lake Jamesville,West Virginia,70737,PRD-8239,2760.64,0,SKU83519,471.8,2025-01-08
40,Hannah,Lee,,hannah.lee@yahoo.com,M,Unknown,9894 Marissa Hill Apt. 524,Lake Amandaview,Arizona,7647,PRD-7049,2914.64,0.2,SKU66333,12308.27,2024-07-29
41,Kelly,Raymond,7323959527,kelly.raymond@outlook.com,M,S,09477 Peterson Center Suite 711,Vasquezshire,South Dakota,90475,PRD-4441,3411.92,0.1,SKU56357,77901.68,2023-07-07
42,Edward,Shepherd,9797329628,edward.shepherd@example.com,male,single,31869 Kimberly Light Suite 749,Torreston,South Carolina,97505,PRD-3662,4881.15,0.2,SKU64040,1991.03,2023-08-12
43,Stacey,Clark,9163520297,stacey.clark@outlook.com,Unknown,Unknown,1232 Eric Lodge,Norrisfort,Maine,4779,PRD-5065,1337.69,0.1,SKU60140,87152.76,2023-11-22
44,Keith,Campbell,9687629943,keith.campbell@example.com,F,single,34936 Amy Rue Apt. 421,East Laurashire,Maine,58061,PRD-8541,1751.54,0.2,SKU39219,1878.28,2023-08-31
45,Taylor,Torres,6829486135,taylor.torres@example.com,female,S,8877 Carly Meadows Suite 940,East Suzanneshire,Pennsylvania,3220,PRD-2137,4834.61,0.3,SKU56025,63968.91,2025-01-10
46,Emily,Adams,7716605598,emily.adams@outlook.com,M,Single,78742 Walters Overpass,South Michaelmouth,Massachusetts,88336,PRD-5279,896.95,0.3,SKU15014,10394.46,2023-08-16
47,Mia,Rivera,7866437132,mia.rivera@outlook.com,female,Married,6807 Leonard Islands Apt. 680,Gutierrezborough,North Dakota,47920,PRD-9379,582.65,0.2,SKU43386,3960.85,2024-09-21
48,Katherine,Garrett,7872852789,katherine.garrett@gmail.com,F,S,48247 Martinez Roads,Lake Eric,Oklahoma,2293,PRD-8066,354.52,0.3,SKU91678,31048.52,2024-07-28
49,Ricky,Walker,9642197907,ricky.walker@gmail.com,Female,M,1274 Perry Orchard,Sanchezside,Georgia,50778,PRD-6067,3336.13,0.3,SKU62743,69569.45,2023-10-22
50,Sandra,Romero,8381183483,sandra.romero@yahoo.com,F,Married,46584 Justin Hills,Grimesmouth,Ohio,63984,PRD-7211,3388.2,0.2,SKU90676,56695.08,2024-02-19
51,Martin,Hines,7744079573,martin.hines@gmail.com,Female,S,5339 Hall Trail Suite 057,Hughesberg,New York,5353,PRD-4443,2152.29,0.3,SKU70946,9999999,2023-09-02
52,Wayne,Lawrence,8901796894,wayne.lawrence@yahoo.com,Other,Unknown,1870 Robert Shoal,North Terrance,Kentucky,44876,PRD-3780,3295.96,0.3,SKU77561,66217.31,2024-09-22
53,Heather,Santos,8659704908,heather.santos@outlook.com,Male,Unknown,865 Brennan Camp Apt. 343,South Tiffanyville,New Hampshire,22306,PRD-4848,3365.61,0.2,SKU36100,14309.07,2024-11-16
54,Kevin,Johnson,6198486416,,Other,M,45562 Amanda Port Apt. 221,Harveybury,New York,76936,PRD-2193,2279.8,0.2,SKU60328,49184.91,2023-09-15
55,Jesse,Little,7047905204,jesse.little@yahoo.com,M,Unknown,0748 Charles Key Suite 647,Jamesfurt,New Mexico,14480,PRD-2746,3893.21,0.2,SKU33053,80313.04,2023-11-27
56,Patrick,Howard,8988918316,patrick.howard@example.com,M,M,406 Smith Way Apt. 974,New Laurie,Iowa,83943,PRD-5082,4587.76,0.1,SKU69829,12900.58,2023-10-21
57,Christine,Byrd,7995627518,christine.byrd@outlook.com,Other,M,104 Johnson Lakes,North Renee,Massachusetts,98474,PRD-9270,2136.57,0,SKU30861,74237.37,2024-04-13
58,Gregory,Anderson,8038711176,gregory.anderson@example.com,Female,Unknown,842 Sloan Orchard Suite 517,East Karenbury,Utah,95425,PRD-5050,4200.12,0.3,SKU78327,48202,2024-10-31
59,Tina,Coffey,7027553177,tina.coffey@outlook.com,Other,Single,60481 Richardson Summit Suite 965,Lake Jesustown,South Carolina,74085,PRD-5681,1176.3,0.3,SKU51904,89249.2,2024-02-05
60,Rose,Walker,6346078411,rose.walker@yahoo.com,male,single,746 Donald Camp,Wendyville,Connecticut,31276,PRD-7275,3471.28,0.2,SKU18418,41194.22,2025-04-15
61,Amanda,Price,7421124738,amanda.price@example.com,Unknown,Single,869 Nicole Shoal Apt. 796,Antoniostad,Indiana,58616,PRD-4388,4165.29,0,SKU86556,94579.23,2024-05-06
62,Stephanie,Foley,6083889094,stephanie.foley@example.com,Other,Single,585 Raymond Field,Port Madisonland,Texas,28302,PRD-6763,1496.57,0,SKU64921,53591.17,2024-10-06
63,Danielle,Maddox,9155229266,danielle.maddox@yahoo.com,Other,single,3293 Maria Plaza,New Jason,Iowa,43565,PRD-5471,2182,0.1,SKU60968,33281.02,2025-01-17
64,Dylan,Lester,8916892179,dylan.lester@example.com,male,Unknown,2284 Daniel Way,East Alexisbury,Pennsylvania,42938,PRD-8657,4598.11,0.1,SKU61645,58985.22,2023-06-08
65,Grant,Williams,8847562279,grant.williams@gmail.com,Male,Divorced,117 Strickland Passage Apt. 783,Lake Kristahaven,Maryland,60537,PRD-8022,682.82,0,SKU33819,4553.61,2024-10-07
66,Tamara,Brown,7628238707,tamara.brown@outlook.com,F,Married,6177 Rachel Islands Apt. 124,Oscarhaven,Maine,59970,PRD-6355,1690.82,0,SKU46471,75076.99,2024-06-22
67,Catherine,Garcia,9573087602,catherine.garcia@example.com,Female,Unknown,836 Beasley Loop,Mariafurt,Nebraska,96132,PRD-2341,2354.18,0.1,SKU55870,22034.33,2023-08-08
68,Larry,Edwards,6294713656,larry.edwards@gmail.com,M,single,2711 Christopher Court Suite 280,Elizabethchester,Minnesota,87708,PRD-4266,4196.95,0.2,SKU41266,12185.21,2025-05-26
69,Karen,Parrish,8875303857,karen.parrish@gmail.com,F,Married,9451 Eric Orchard,Port Daniel,Oklahoma,48677,PRD-5198,3835.66,0.2,SKU89415,60528.37,2023-08-24
70,Kathryn,Andrews,9212316223,kathryn.andrews@gmail.com,male,S,998 Chelsea Shoals Suite 024,Sandrastad,Alabama,24278,PRD-2771,2895.53,0.3,SKU85470,67573.4,2025-04-01
71,Douglas,Sandoval,7611931113,douglas.sandoval@example.com,F,Single,01836 Chavez Estate,Larrymouth,Wyoming,74896,PRD-4978,514,0.3,SKU99687,59841.37,2024-09-01
72,Christopher,Williams,6519927529,christopher.williams@gmail.com,female,M,014 Stanley Oval,Perryborough,Wisconsin,67655,PRD-8018,3309.3,0.1,SKU76317,64578.1,2023-08-23
73,Michael,Rodriguez,6054340558,michael.rodriguez@example.com,Other,Single,403 Joyce Centers Apt. 343,Port Jonathan,Massachusetts,16227,PRD-8102,4804.13,0,SKU30052,43266.46,2023-06-02
74,Tyler,Jordan,9151626818,tyler.jordan@outlook.com,Other,Married,8388 Jones Wall,South Andrewland,Massachusetts,75966,PRD-8136,4129.54,0.3,SKU52245,85097.17,2024-04-24
75,Ashley,Mckinney,9567962531,ashley.mckinney@gmail.com,Female,Married,1605 Laurie River Suite 516,East Ryanfurt,North Dakota,10809,PRD-4995,3753.63,0,SKU54092,2384.35,2024-03-29
76,Monica,Reese,9654814605,monica.reese@outlook.com,male,Married,2181 Rebecca Keys,Jessicaberg,Kansas,13975,PRD-4475,1777.35,0.3,SKU54608,27605.68,2023-09-17
77,Jonathan,Thompson,8560466250,jonathan.thompson@outlook.com,M,M,127 Webster Trace,Maldonadoshire,Tennessee,83770,PRD-4130,432.64,0,SKU74038,55295.21,2024-09-23
78,Marcus,Maddox,7032183433,marcus.maddox@example.com,Other,Married,71774 Vargas Knoll Apt. 477,North Miguelport,California,84998,PRD-1282,469.8,0.2,SKU63005,69024.61,2025-03-28
79,Tiffany,Davis,7315144891,tiffany.davis@outlook.com,Other,M,9807 Marc Mountains Apt. 071,Toniland,North Carolina,85190,PRD-9698,1722.07,0.3,SKU56112,70136.92,2023-10-08
80,Benjamin,Zimmerman,7163577186,benjamin.zimmerman@outlook.com,Female,single,892 Watson Haven Suite 659,Port Crystalmouth,California,43714,PRD-2976,3607.82,0.3,SKU25670,74159.55,2023-08-08
81,Angela,Hughes,9273579452,angela.hughes@yahoo.com,F,single,925 Brandi Divide Suite 462,West Angelicamouth,Florida,88334,PRD-8933,1386.12,0.3,SKU23176,83179.15,2024-11-22
82,Maria,Rodgers,7272368870,maria.rodgers@yahoo.com,female,single,685 Michael Falls,West Stacey,New York,25667,PRD-5952,75.67,0.2,SKU45954,4074.33,2023-11-18
83,Zoe,Moore,6234187462,zoe.moore@outlook.com,male,Divorced,88805 Carla Drives Apt. 292,Williamsstad,Utah,94818,PRD-9042,517.43,0.1,SKU85243,28076.1,2023-11-27
84,Tara,Bishop,8056061866,tara.bishop@example.com,female,single,83473 Gregory Ports Suite 746,Burchborough,Rhode Island,18641,PRD-1841,1266.13,0,SKU24953,82122.62,2025-04-04
85,John,Davidson,7721025347,john.davidson@example.com,Male,M,181 Miller Estates Suite 782,Davisbury,New Hampshire,46321,PRD-1878,762.88,0.3,SKU21164,99388.77,2025-05-18
86,Anthony,Brown,6508745584,anthony.brown@example.com,F,Unknown,61530 Galvan Villages Suite 220,Samanthafort,Vermont,18692,PRD-9561,1904.99,0,SKU48974,85946.75,2025-01-05
87,Janice,West,7841810119,janice.west@outlook.com,M,M,04328 Rodriguez Heights,West David,Kansas,55528,PRD-2625,4738.21,0.2,SKU91987,20708.03,2024-10-04
88,Laura,Bryant,8836517266,laura.bryant@gmail.com,male,single,9808 Jennifer Highway,Smithstad,Kansas,75299,PRD-3847,2762.2,0.2,SKU10350,40556.02,2024-04-14
89,Jacob,Barnett,8960826470,jacob.barnett@example.com,Female,Single,88888 Peter Mountains Apt. 654,West Kristinastad,Kansas,96569,PRD-4792,1444.08,0.3,SKU69510,6653.57,2024-10-18
90,Courtney,Ingram,7002547591,courtney.ingram@outlook.com,F,Married,05852 Pollard Neck Apt. 217,West Jamesborough,Arizona,41866,PRD-2880,2725.09,0.2,SKU44816,82576.43,2025-05-20
91,Kyle,Sanders,6306702926,kyle.sanders@gmail.com,male,Unknown,0345 Michelle Isle Suite 156,Paulfurt,Michigan,24987,PRD-6039,2977.24,0.3,SKU67560,11997.54,2024-06-15
92,Heather,Richardson,8957849462,heather.richardson@outlook.com,Unknown,S,61692 Morris Common Suite 447,Jacksonmouth,Minnesota,59107,PRD-9199,2702.21,0,SKU20543,59602.68,2023-06-28
93,Jessica,Buck,9820042236,jessica.buck@example.com,female,M,0165 Stephanie Divide Suite 021,Port Deanna,Mississippi,50682,PRD-5102,134.2,0.2,SKU98381,83513.84,2024-08-09
94,Antonio,Hernandez,8470461357,,Female,M,5719 Alyssa Locks Suite 431,Lake Jacobhaven,Missouri,74120,PRD-1659,3816.73,0.2,SKU71669,51655.87,2023-08-26
95,Jose,Green,7899360801,jose.green@outlook.com,male,,94731 Melissa Mission Apt. 715,Jennaside,Ohio,38559,PRD-8141,3175.75,0,SKU21959,46736.04,2025-04-18
96,Kevin,Moore,7753841726,kevin.moore@outlook.com,female,Divorced,8313 Joel Park,West Angelastad,New Jersey,72806,PRD-2713,4289.38,0.3,SKU63955,69214.2,2023-09-04
97,Cheryl,Miller,,cheryl.miller@example.com,,Married,7866 David Island Apt. 778,Davidside,South Dakota,77543,PRD-2442,1576.01,0.3,SKU25194,97003.57,2023-10-15
98,Katrina,Anderson,7735918651,katrina.anderson@gmail.com,Other,Married,82422 Donovan Fork,Staceyhaven,Maine,10837,PRD-1888,941.97,0.3,SKU91609,75522.54,2023-12-07
99,James,Huber,8686110098,james.huber@example.com,M,single,49818 Brittany Prairie Apt. 299,Meganshire,Arizona,4219,PRD-5375,2748.35,0.3,SKU67424,88025.09,2023-07-29
100,Brandon,May,8081821325,brandon.may@gmail.com,M,Divorced,396 Tyler Road Suite 473,Evansland,Vermont,8353,PRD-4920,3550.37,0.3,SKU82199,874.28,2023-09-26
101,Scott,Washington,7752306681,scott.washington@gmail.com,F,Unknown,9255 Hester Curve,Zacharyville,Massachusetts,32186,PRD-2858,2309.93,0.1,SKU94896,83130.39,2024-05-23
102,David,Cole,8140506492,david.cole@outlook.com,Female,Married,04696 Sydney Estate,Sarahmouth,Illinois,21386,PRD-8905,4901.32,0.2,SKU69871,54902.14,2024-06-17
103,Wendy,Owens,7647489402,wendy.owens@yahoo.com,male,Unknown,0168 Levy Forge Suite 004,Harperfort,Maine,70846,PRD-2143,1384.86,0,SKU54548,93391.96,2023-06-02
104,Melanie,Jordan,8180716723,melanie.jordan@outlook.com,M,S,565 Richard Port Apt. 584,South Williamside,Louisiana,82190,PRD-5891,4188.19,0,SKU29476,44378.01,2024-11-05
105,Cheryl,Anderson,8080230418,cheryl.anderson@outlook.com,female,M,5585 James Pass,Porterton,Arizona,18462,PRD-9903,1889.16,0.3,SKU34727,98067.85,2024-12-01
106,Mason,Wells,7025662000,mason.wells@example.com,F,Unknown,98259 Martin Ridges Suite 958,Ericksonport,New Mexico,2681,PRD-7730,223.02,0,SKU59968,38300.91,2024-03-08
107,Mark,Rodriguez,,mark.rodriguez@yahoo.com,Other,Single,409 Baker Shoal Apt. 097,New Cristina,South Carolina,50333,PRD-3068,2513.94,0.3,SKU23154,87356.13,2023-09-18
108,Lorraine,Allen,,lorraine.allen@gmail.com,Other,Single,07562 Vaughn Loop,Salaston,Virginia,18599,PRD-3361,2052.84,0.2,SKU19807,46683.81,2024-07-02
109,Jared,Nguyen,7138264176,jared.nguyen@outlook.com,Unknown,Divorced,652 Barr Junctions Suite 497,East Joshua,Maryland,29974,PRD-2315,4259.57,0,SKU51505,62493.32,2024-01-13
110,Kellie,Bush,9811520099,kellie.bush@example.com,M,M,7584 Martinez Springs Suite 652,Bobbyland,Minnesota,58484,PRD-2121,1177.68,0.3,SKU39817,74550.02,2024-10-17
111,Jonathan,Mendoza,7863893256,jonathan.mendoza@gmail.com,Male,Married,484 Daniel Streets,East Brent,North Dakota,30080,PRD-3725,3471.54,0.1,SKU16028,32099.65,2024-10-03
112,Jesse,Garcia,6241030242,jesse.garcia@outlook.com,female,S,712 Tamara Estate Suite 773,Manuelton,Wyoming,12226,PRD-8056,732.12,0,SKU84177,68020.94,2024-10-14
113,Audrey,Nichols,6773338452,audrey.nichols@yahoo.com,male,Single,62067 Sharon Well,Nancytown,Maryland,74944,PRD-7267,3100.45,0.2,SKU75230,91239.32,2024-09-06
114,Daniel,Bird,6614685938,daniel.bird@yahoo.com,Other,Divorced,8872 Nelson Valleys Apt. 527,Jennifertown,West Virginia,44686,PRD-5161,2300.55,0.1,SKU70981,90071.55,2025-01-30
115,Kenneth,Craig,8910316591,kenneth.craig@yahoo.com,Male,Married,96685 Richard Court,East Thomas,Kansas,1396,PRD-6661,4938.32,0.3,SKU93746,96183.92,2023-12-15
116,Patrick,Griffin,8964873967,patrick.griffin@outlook.com,Other,Unknown,4990 Valdez Square Apt. 017,Erikhaven,Virginia,41261,PRD-5949,1000.09,0,SKU73335,10218.65,2024-11-13
117,David,Hendricks,7637947177,david.hendricks@outlook.com,Female,Divorced,9332 Hernandez Summit Suite 687,Port John,Wisconsin,78595,PRD-5837,114.59,0,SKU45976,313.85,2025-04-04
118,Kristin,Fox,9715436184,kristin.fox@gmail.com,Other,Unknown,91088 Ashley Drive Apt. 587,Lake Jamieshire,New York,12420,PRD-5689,3879.83,0.2,SKU89569,80094.16,2025-04-24
119,William,Stokes,6940617318,,Female,Divorced,86790 Chambers Inlet Apt. 640,New Charles,Nevada,45659,PRD-3240,3143.1,0.1,SKU50492,78755.35,2024-11-21
120,Bryce,Mcknight,,bryce.mcknight@outlook.com,male,Single,0462 Katie Stream,Brooksfurt,New Hampshire,49980,PRD-5835,1636.96,0,SKU33021,19679.88,2024-03-13
121,Christopher,Brandt,9378046814,christopher.brandt@outlook.com,Female,Unknown,512 Rice Stream,Port Adam,Alaska,39608,PRD-3695,1288.57,0,SKU48684,74529.21,2024-05-20
122,Emily,Stephens,7454770940,emily.stephens@gmail.com,Other,Single,37524 Sharon Stream Apt. 069,East Jamieville,Rhode Island,4901,PRD-3306,3771.99,0.2,SKU98647,72283.78,2024-05-07
123,Carla,Warner,7706869362,carla.warner@outlook.com,Male,Unknown,06738 Karen Trail,East Williamport,Iowa,96382,PRD-7464,74.52,0.1,SKU69609,36542.86,2024-08-16
124,Luis,Harper,9216980347,luis.harper@outlook.com,Unknown,Unknown,42836 Hill Point Apt. 687,West Shellyfurt,North Dakota,42278,PRD-7086,546.19,0.2,SKU71797,2014.98,2024-11-17
125,Robert,Hernandez,9797759723,robert.hernandez@outlook.com,F,Divorced,87334 Linda Centers Suite 688,South John,Indiana,43789,PRD-2035,3178.84,0,SKU49608,64748.56,2024-10-10
126,Christian,Cole,6501119337,christian.cole@yahoo.com,M,Single,83046 Morgan Field Apt. 735,Susantown,Indiana,25407,PRD-5986,4979.66,0.1,SKU22739,23097.4,2024-12-22
127,David,Key,8308745090,david.key@yahoo.com,Unknown,Married,93638 Rowe Light Suite 854,Michaelfort,New Jersey,13425,PRD-7078,3354.08,0,SKU86983,74098.04,2025-02-08
128,Tina,Harrison,6663670797,tina.harrison@example.com,Male,Unknown,55609 Joyce Brook Suite 899,Phillipsborough,Michigan,30650,PRD-9017,3080.18,0.3,SKU14288,68873.21,2024-03-17
129,Ashley,Sanchez,6933166190,ashley.sanchez@example.com,Other,single,7772 Jackson Stravenue Suite 280,Port Melanieton,Wisconsin,1337,PRD-6942,501.28,0.3,SKU81364,90120.47,2024-04-11
130,Derrick,Mccoy,8769510048,derrick.mccoy@outlook.com,M,Married,203 Brooks River,Hopkinstown,Alabama,70259,PRD-5520,953.09,0.1,SKU69600,8713.18,2024-07-28
131,Robert,Smith,6910987546,robert.smith@gmail.com,M,Unknown,408 Drake Fall Apt. 182,East Christine,Kentucky,46958,PRD-6464,1221.63,0.2,SKU84000,20123.16,2023-12-20
132,Laura,Miller,9564040452,laura.miller@yahoo.com,F,Unknown,9334 Desiree Walks Apt. 166,Tranton,South Dakota,1739,PRD-4817,1646.15,0.2,SKU88116,-215.03,2024-11-22
133,George,Porter,9686826237,george.porter@yahoo.com,male,M,591 Jerry Ways Suite 401,Rachelshire,Texas,4813,PRD-5106,3993.58,0.1,SKU96646,86578.01,2023-10-13
134,Sarah,Edwards,6566090561,sarah.edwards@gmail.com,female,Unknown,261 Martin Garden,Rhodesside,Michigan,50812,PRD-4898,2946.32,0.1,SKU32838,26169.43,2025-01-02
135,Jodi,Gibbs,6544423789,jodi.gibbs@example.com,Male,Divorced,501 Hall Club,Cassiefurt,Wyoming,43279,PRD-2041,2383.85,0.3,SKU77271,59163.43,2023-06-19
136,Cynthia,Bowers,7941348507,cynthia.bowers@yahoo.com,M,Divorced,3586 Lopez Prairie Suite 194,Lake Charles,Louisiana,20715,PRD-9543,1511.64,0.1,SKU17972,99857.97,2024-03-17
137,Jennifer,Walters,9639119547,jennifer.walters@example.com,Unknown,Divorced,5110 Wallace Trace Suite 121,South Shane,Oklahoma,67667,PRD-2768,2453.89,0,SKU19632,89876.31,2024-04-07
138,Dakota,Davis,7383459732,dakota.davis@yahoo.com,Male,single,956 Kelly Loaf,Lake Rachelbury,Oregon,68803,PRD-5505,3123.47,0.3,SKU59925,99460.09,2023-10-05
139,Gina,Jackson,8278724262,gina.jackson@outlook.com,Other,M,4721 Ryan Manor Suite 715,Sherylfort,Rhode Island,81329,PRD-8048,500.4,0.1,SKU95814,64917.12,2023-10-25
140,Stephen,Taylor,9302669787,stephen.taylor@yahoo.com,Unknown,Married,5965 Cook Via,West Malik,Vermont,26827,PRD-4743,2072,0,SKU62262,41306.96,2024-06-02
141,Leon,Oconnell,6408390575,leon.oconnell@outlook.com,Unknown,S,7935 Ramirez Turnpike Suite 519,New Wendy,Idaho,89854,PRD-5176,1874.63,0.2,SKU72163,6246.9,2025-01-12
142,Andrea,Benton,9572433066,,Male,Married,374 Lori Underpass Suite 724,West Donna,Virginia,55961,PRD-2582,3724.22,0.3,SKU27054,55415.26,2025-01-28
